id,date,status,matchday,home_team,away_team,home_team_id,away_team_id,home_score,away_score,winner,season
444255,2023-08-19T16:30:00Z,FINISHED,1,Empoli FC,Hellas Verona FC,445,450,0,1,AWAY_TEAM,2023-2024
444256,2023-08-19T16:30:00Z,FINISHED,1,Frosinone Calcio,SSC Napoli,470,113,1,3,AWAY_TEAM,2023-2024
444257,2023-08-19T18:45:00Z,FINISHED,1,Genoa CFC,ACF Fiorentina,107,99,1,4,AWAY_TEAM,2023-2024
444258,2023-08-19T18:45:00Z,FINISHED,1,FC Internazionale Milano,AC Monza,108,5911,2,0,HOME_TEAM,2023-2024
444260,2023-08-20T16:30:00Z,FINISHED,1,AS Roma,US Salernitana 1919,100,455,2,2,DRAW,2023-2024
444261,2023-08-20T16:30:00Z,FINISHED,1,US Sassuolo Calcio,Atalanta BC,471,102,0,2,AWAY_TEAM,2023-2024
444259,2023-08-20T18:45:00Z,FINISHED,1,US Lecce,SS Lazio,5890,110,2,1,HOME_TEAM,2023-2024
444263,2023-08-20T18:45:00Z,FINISHED,1,Udinese Calcio,Juventus FC,115,109,0,3,AWAY_TEAM,2023-2024
444262,2023-08-21T16:30:00Z,FINISHED,1,Torino FC,Cagliari Calcio,586,104,0,0,DRAW,2023-2024
444254,2023-08-21T18:45:00Z,FINISHED,1,Bologna FC 1909,AC Milan,103,98,0,2,AWAY_TEAM,2023-2024
444266,2023-08-26T16:30:00Z,FINISHED,2,Frosinone Calcio,Atalanta BC,470,102,2,1,HOME_TEAM,2023-2024
444271,2023-08-26T16:30:00Z,FINISHED,2,AC Monza,Empoli FC,5911,445,2,0,HOME_TEAM,2023-2024
444267,2023-08-26T18:45:00Z,FINISHED,2,Hellas Verona FC,AS Roma,450,100,2,1,HOME_TEAM,2023-2024
444270,2023-08-26T18:45:00Z,FINISHED,2,AC Milan,Torino FC,98,586,4,1,HOME_TEAM,2023-2024
444265,2023-08-27T16:30:00Z,FINISHED,2,ACF Fiorentina,US Lecce,99,5890,2,2,DRAW,2023-2024
444268,2023-08-27T16:30:00Z,FINISHED,2,Juventus FC,Bologna FC 1909,109,103,1,1,DRAW,2023-2024
444269,2023-08-27T18:45:00Z,FINISHED,2,SS Lazio,Genoa CFC,110,107,0,1,AWAY_TEAM,2023-2024
444272,2023-08-27T18:45:00Z,FINISHED,2,SSC Napoli,US Sassuolo Calcio,113,471,2,0,HOME_TEAM,2023-2024
444273,2023-08-28T16:30:00Z,FINISHED,2,US Salernitana 1919,Udinese Calcio,455,115,1,1,DRAW,2023-2024
444264,2023-08-28T18:45:00Z,FINISHED,2,Cagliari Calcio,FC Internazionale Milano,104,108,0,2,AWAY_TEAM,2023-2024
444281,2023-09-01T16:30:00Z,FINISHED,3,US Sassuolo Calcio,Hellas Verona FC,471,450,3,1,HOME_TEAM,2023-2024
444280,2023-09-01T18:45:00Z,FINISHED,3,AS Roma,AC Milan,100,98,1,2,AWAY_TEAM,2023-2024
444275,2023-09-02T16:30:00Z,FINISHED,3,Bologna FC 1909,Cagliari Calcio,103,104,2,1,HOME_TEAM,2023-2024
444283,2023-09-02T16:30:00Z,FINISHED,3,Udinese Calcio,Frosinone Calcio,115,470,0,0,DRAW,2023-2024
444274,2023-09-02T18:45:00Z,FINISHED,3,Atalanta BC,AC Monza,102,5911,3,0,HOME_TEAM,2023-2024
444279,2023-09-02T18:45:00Z,FINISHED,3,SSC Napoli,SS Lazio,113,110,1,2,AWAY_TEAM,2023-2024
444277,2023-09-03T16:30:00Z,FINISHED,3,FC Internazionale Milano,ACF Fiorentina,108,99,4,0,HOME_TEAM,2023-2024
444282,2023-09-03T16:30:00Z,FINISHED,3,Torino FC,Genoa CFC,586,107,1,0,HOME_TEAM,2023-2024
444276,2023-09-03T18:45:00Z,FINISHED,3,Empoli FC,Juventus FC,445,109,0,2,AWAY_TEAM,2023-2024
444278,2023-09-03T18:45:00Z,FINISHED,3,US Lecce,US Salernitana 1919,5890,455,2,0,HOME_TEAM,2023-2024
444290,2023-09-16T13:00:00Z,FINISHED,4,Juventus FC,SS Lazio,109,110,3,1,HOME_TEAM,2023-2024
444289,2023-09-16T16:00:00Z,FINISHED,4,FC Internazionale Milano,AC Milan,108,98,5,1,HOME_TEAM,2023-2024
444287,2023-09-16T18:45:00Z,FINISHED,4,Genoa CFC,SSC Napoli,107,113,2,2,DRAW,2023-2024
444284,2023-09-17T10:30:00Z,FINISHED,4,Cagliari Calcio,Udinese Calcio,104,115,0,0,DRAW,2023-2024
444286,2023-09-17T13:00:00Z,FINISHED,4,Frosinone Calcio,US Sassuolo Calcio,470,471,4,2,HOME_TEAM,2023-2024
444291,2023-09-17T13:00:00Z,FINISHED,4,AC Monza,US Lecce,5911,5890,1,1,DRAW,2023-2024
444285,2023-09-17T16:00:00Z,FINISHED,4,ACF Fiorentina,Atalanta BC,99,102,3,2,HOME_TEAM,2023-2024
444292,2023-09-17T18:45:00Z,FINISHED,4,AS Roma,Empoli FC,100,445,7,0,HOME_TEAM,2023-2024
444293,2023-09-18T16:30:00Z,FINISHED,4,US Salernitana 1919,Torino FC,455,586,0,3,AWAY_TEAM,2023-2024
444288,2023-09-18T18:45:00Z,FINISHED,4,Hellas Verona FC,Bologna FC 1909,450,103,0,0,DRAW,2023-2024
444300,2023-09-22T16:30:00Z,FINISHED,5,US Salernitana 1919,Frosinone Calcio,455,470,1,1,DRAW,2023-2024
